Polarity,Text
negative,الاحظ ان السيارة تشفط بنزين و فيه ثقل بسيط بالقومة.
neutral,الالتيما جميلة  بس عمرها قصير و ما لها قيمة بعدين عند البيع .
positive,كامري سيارة كرف و مكده و تمسك سعرها.
neutral,الالتيما سيارة تبهرك بمواصفاتها الرائعة لكن جوده سيئة و لا تمسك سعرها.
positive,القير CVT من أبدع ما يكون حسب تجربة لا يغرك كلام الناس، من جربه عرفه صح اغلبهم من اذاعة يقولون و لا جربوه و قطع الغيار اشرط لك نيسان أرخص من تويوتا و قطعهم تجيك أصلية يعني ركب و انسى.
negative,السيارة ماشيه 20 الف فقط و التبريد زفت تقل مشغل مروحة.
negative,تويوتا قطع تجاريه و غالية و أكبر دليل اصحاب تويوتا الفحمات كل 20 الف كيلو مغيرينها.
negative,المروحة ما تبرد زين.
positive,التيما طبعا بدون تفكير خدها من مالك سيارتين 2009 و 2011 ما ابالغ المكيف تتجمد بعز الظهر الصلاة على النبي السيارة مريحة جدا على المطبات و لينه 2009 ماشيه لحد الان 308 الف كيلو.
negative,الموتر اودي كيو 7 موديل 2012 لاحظت آثار الرطوبة لتهريب البنزين على التانكي من تحت السيارة بالاضافة للرائحة. الصيانة و الضمان منتهي لكن هذا عيب تصنيعي و يوجد استدعاء ل 170 الف سيارة آودي في الو لايات المتحدة لنفس السبب لكن الوكالة هنا رفضت.
negative,الفورد انحش عنه بكل ما أوتيت من قوة يلهط بنزين. 
positive,أرخص قطع غيار سواء استهلاكية او بدي هي الاكسنت.
positive,ارتفاع مناسب عن الارض و استهلاك قليل للوقود.
negative,الباجيرو بلاعة بانزين.
neutral,الجمني جيب صغير و فيه دبل قيمته ما تتعدى 40 الف صبور لكن عيبه ضيق من الداخل.
positive,ديهاتسو تيريوس سيارة خدومة و كان عند ولد خالتي حق كرف و  يستحمل.
positive,سنتافي 4 سلندر مكينتة 2400 عزم ممتاز عن تجربة استهلاك معقول.
positive,راف فور مكيف ثلاجة و يابانى التجميع و الصناعه ممتاز جدا.
positive,القير شد بلد و ماشي زي الحلاوة.
negative,نصيحة ابعد عن الالتيما سيارة ورش عن تجربة مريرة كل شوي و انت بالوكالة.
positive,الصني هذا الشكل افضل بتعجبك قوة الفرامل و الرساوة.
negative,الصني ترتفع الحرارة و خلاص الموديل ذا صار ثقيل جدا.
positive,مع أبوي 2009 ما شاء الله تبارك الرحمن اشهد ان هو الددسن جوده لا حنه و لا شيء.
negative,حنه الماكينة معروفة بالددسن منذ القدم.
negative,شوف أسعار الالتيما 2015 مستعمل و بتتفل عليها.
negative,السيارة راح تطلب منك قطع كتيرة.
negative,فورد ايدج قطعها نار النار .
neutral,الشيروكي ممتاز لكن ما يدوم و القطع تكرهك السيارة.
negative,الايدج حرام عليه ذا المبلغ.
negative,اللكزس ار اكس قبيح بعد لا يغرك انه لكزس.
negative,و الله خبال هاللي تسويه تويوتا. هايلكس 4 سلندر و تلهط البنزين لهط الويل و لا فيه مواصفات و لا شيء يذكر وسعرها فوق ال 100 الف ريال على ايش.
neutral,خذ الكامري يا خوي عملية و مكيف بارد و عزلها الأرضي حلو و اسمها تويوتا ما نختلف فيها عيوب بسيطة لكن سيارة لك و للزمن و قيمتها فيها.
neutral,هي صح ما تستاهل سعرها و المفروض أقل بكثير بس خلونا منصفين تراها تكرف و تصبر بغض النظر عن سعرها.
negative,اللي يقول ليش فوق 100 الف الشكر يرجع للشعب لو ما لقالها زبون ما نزلها بالسعر ذا.
neutral,النيسان حلوة بس مشكلتها القطع.
negative,عندي دودج تشارجر 2012 ترتفع الحرارة لما اكون واقف.
negative,موية الرديتر تغلي و تفور وش المشكلة.
negative,لاحظت كمية تهريب من تحت السيارة غير طبيعية.
positive,الصني افضل بكثير و أوسع و مكيف ثلج و مكينة أكبر و صرفية حلوة.
neutral,نصيحة من اخ اذا يهمك المكيف ابعد عن هونداي ترى مكيف الهونداي سيء و مشاكله واجد صح شكل جميل و يخدم لكن المكيف و الله لك عليه ما يبرد.
neutral,اذا تبي مكيف ثلاجة خذ صني و انت مغمض لكن شكلها كنها ضفدع.
neutral,بالنسبة للصني هي ممتازة بس شكل قطع الغيار غالية لي تجربة مع النيسان سابقا.
negative,عندي مازدا cx9 موديل 2008 يطلع صوت قرقرة أو مثل إحتكاك في مقدمة السيارة.
positive,انا معايه سوناتا 2016 ما شاء الله تبارك سيارة عملية و ممتازة. 
negative,ابعد عن ال 4 سلندر ترى عزمه ميت و ينرفز.
positive,انصحك سيفك 15 ثبات راحه إنسيابية اقتصادية عن تجربة.
positive,افضل من ناحية الاستخدام و قلة الشكاوي و أسعار قطع الغيار.
positive, الـ s 600 تقدر تقول مايباخ يعني كل التقنيات المتوفرة في ذاك الزمن موجوده فيه.
positive,افضل موديل للشبح هو الـ 98 شكلاً و رحابة و راحه و عزم.
neutral,أسعار قطع الغيار ما هي غالية و لا رخيصة تعتبر عادية و متوسطة.
negative,شريت اكسنت 2014 و لما اجي اوقف أشوف RPM يطلع و ينزل و أثناء المشي أسمع صوت في المكينة.
negative,عندي مشكلة يا شباب بسيارتي اذا ضربت بوري تطفى و انا امشي وش المشكلة الله يعطيكم العافية هل في الكهرباء.
positive,حط ضمن خياراتك مازدا 6 و الله سيارة جبارة و راسية في الخطوط و مكيف ثلج بحول المبلغ اللي معك او أرخص.
positive,سيارة تعيش معي و رخيصة و ما تصرف بانزين و مكيفها بارد.
positive,الكورو لا مكيف صرفية اعتمادية كل شي.
positive,النترا  الافضل و الأنسب عملانية.
negative,قليل جدا انتشاره و النيسان مشاكل القير تخوف فيه.
negative,المورانو جدا قليل تجده واذا حصلته يا مخبط قير او مغير قيره.
negative,الراف فور تويوتا ب 80 خالي من المواصفات.
positive,اللي يميز الاكستريل و اي سيارة بقير CVT صرفية البنزين الممتازة.
positive,مكيف نيسان مضمون تبريده.
positive,الكامري سيارة تكد و منتشرة بالسعودية.
positive,سيارة عصرية و جميلة و صرفية البنزين ممتازة.
negative,سألت موظف في محل بن ماضي ما نصحني لأن قطع البدي لازم طلبية في حال لا قدر الله سويت حادث.
neutral,الهونداي معجبني كشكل لكن مكيفه تعبان.
neutral,الالتيما شكلها روعة و مريحة و العزل ممتاز لكن العيوب الوكيل و تتفك بسرعة اذا بتراعيها ممكن لكن اذا بتكدها بتطيح بسرعة.
negative,المازدا c5 ممتاز جدا و تبريد ثلج. لكن عيبه ارتفاع سعره وصغر الشنطة.
negative,الي ماله داعي الي يقول المازدا ياخي اصحاب الخبرة يسمونه المازدا الفاسدا لا سيارة و لا جوده و لا وكيل.
positive,تبي مواصفات و راحه خذ التيما.
positive,تبي شيك في جيبك خذ كامري.
negative,تعطل الكمبروسر في سيارتي كامري 2015 رحت أكثر من كهربائي قال لازم يتغير الكمبروسر المكيف هواء حار فقط.
positive,الاف جي ممتاز و هو أقل أعطال و قوي في البر جيب مطنوخ.
positive,مع واحد من الربع سييرا و دائما اطلع معه فيه سيارة تحطها على يمناك ما شاء الله و شكلها هيبة.
negative,الاف جي وقف استيراده مدري انتاجه و شكله تقليدي و شبعنا منه.
positive,الافجي اريح و أقوى في البر و أوسع.
negative,تصميمه لا داخليا و لا خارجيا ما هو زين.
positive,لو خيروني السييرا بدون نقاش شكل هيبة و قوة و تعديل مكينته بيطربك نغمة شكمانه لحالها طرب.
positive,من ناحية الراحه السييرا بدون مقارنه.
positive,اخذ كامري و اتكل على الله مع اخوي 2014 ما شاء الله تبارك الله من وكالتها ما غير فيها شي و اخوي راعي اخطوط الله يستر عليه و الله انه بشكل اسبوعي من الرياض الى جده ما خلينا عليها مكان الله يبارك له فيها و يستر عليه موتر كفو.
negative,سيارة نادر جدا تشوفها.
negative,تتعب معاه في القطع و الورش.
negative,قطع غيارها غالية وصيانتها بالوكالة غالية من تجربة صديق لي.
negative,مره سالت عنها في صناعية الخليج و ما لقيت اي قطع لها بس كنت ابي استفسر عن قطعها مجرد استفسار و ما لقيت اي قطعة.
neutral,السيارة كشكل جميلة و ملفتة لكن يعيبها انها نازله للأرض كثير و جنطها كبير على السيارة و اتوقع قطعها لا تتوفر بسهولة.
neutral,جميلة جدا لكن نادر أشوفها بالشوارع.
neutral,سيارة حلوة للأمانة مجربها بس مو مالك لها هي سيارة اخوي عزمها حلو ما شاء الله و اقتصادية و دمها خفيف بس مثل ما تفضلوا الشباب قطعها المجدوعي يسوي لها طلبية من دبي و يبي لها اسبوع او اسبوعين لين تصل.
negative,نازلة الأرض يعني اي حفرة ممكن تروح السيارة تشليح اذا ما ابالغ.
negative,قطع غيارها بالتوكيل فقط و نادر تحصلها.
positive,خذ كورو لا بتكرف معك لين تقول بس ان شاء الله تتحمل و اقتصادية.
negative,قاسية في المطبات لأن جنطها 18 و ارتفاع الكفر صغير جدا.
negative,ابتعد عنها و لا يغرك الشكل قطعها غالية و بطلبية.
positive,السوناتا بصفه عامه سيارة قوية و صبورة و حقت كرف.
negative,لا تنسى السوناتا مكائنها تخبط.
negative,للأسف مكيفها زفت بعد استخدام سنة خاصه وانت واقف بالصيف.
positive,اذا تبي شكل شبابي و رياضي خذ التشارجر.
positive,اذا تبي شكل فخم و رسمي خذ الكلايزلر.
neutral,"التشارجر خارجيا شكل جميل و رياضي و شبابي, داخليا لا توجد اي فخامة ديكور عادي جدا."
positive,"الكرايسلر خارجيا شكل جميل و رسمي جدا, داخليا فخامة و خطوط جميلة و تخشيب و مراتب اريح."
positive,الكلايسر أفخم كشكل و ديكوراته و داخليته جذابه.
positive,انا أشوف التشارجر الشكل الجديد أجمل خارجيه.
negative,الموديل هذا داخليته تجيب الهم كئيبة.
negative,لا مهوب صبور واعتمادي مثل الونيتات اليابانية و لا انصحك به.
negative,الامريكي معروف انه اذا صار قديم تكثر خراباته.
negative,سيارات فورد أسعارهم غالية جدا وعندهم تكدس من 2015 باقى عندهم.
positive,افضل شي الصني 2017  وسيعة و مكيفها ثلج.
negative,العزم ضعيف جدا كأنه 4 سلندر مع انه 8 سلندر.
negative,المكيف حار وخصوصا في الزحمه او الوقوف.
negative, كمبرسر المكيف ضرب خلال سنة وغيرته.
positive,السيارة كويسه و سعرها مناسب جدا.
neutral,كيا ريو 2017 المكيف مو ذك الزود بالصيف اما في الليل ما عليه خلاف.
positive,الافضل مبيعا في امريكا هو ممتاز و عملي.
positive,السيارة ما شاء الله واسعة و كبيرة و مساحات الارجل الخلفية كانها bmw و مقاعد مريحة جدا من الجلد الناعم المميز تكاد تقول ان يشبه اليخت من النعومة.
negative,نظام المحافظة على المسار تهتز الطارة وتاخذك معها حسب الطريق الصحيح بنظري مزعجة بدونها افضل.
positive,.شكل هجومي و جميل جدا
positive,انا أرشح لك الالتيما ، سيارة ممتازة و اقتصادية و من فئة الكامري و الاكورد و واسعة و يكفي انها من نيسان.
positive,ابعاد السيارة كبيرة تحس انها مرسيدس او بي ام وهالشيء يعطيك شعور بالثبات و الرساوة.
positive,مواصفات غنية و سهل الوصول اليها كل شي بمتنأول السائق.
positive,عزل الصوت جيد جدا على سرعات عالية.
positive,افضل الموديلات من 2012 و فوق تفادوا العيوب السابقه من حرارة وخلافها.
positive,القومة ما شاء الله تبارك الله عز يهيضك ودك تدعسله دايم.
negative,القومة ثقيلة نوعا ما تفحط وتحفر الكفرات.
negative,استهلاك البنزين مرتفع للأسف.
positive,تعطي استهلاك بنزين أقل و احصنة افضل.
negative,بالنسبة للأزيرا 3000 سي سي فانا جربتها في الوكالة و بصراحه عزمها أقل من المتوقع بكثير.
negative,استهلاك البنزين في الهواندي أعلى من مثيلاتها اليابانيه.
negative,انصدمت من شكل السيارة العادي و المائل للتقليد بشكل كبير.
positive,الحين 2018 الشكل الجديد خذه افضل و شكل جديد و يبغى له سنوات عشان يتغير و تكون مبسوط و كاشخ.
positive,المميزات سيارة مكده.
negative,العيوب بخلاء شوي بالمواصفات.
positive,كامري الجديد 2018 افضل بكثير و مكينة أقوى بالاحصنه ومواصفات و تغيير كامل من شاصي و شكل خارجي و داخلي.
positive,الاكورد 2017 ابداع و مواصفات الأمان كامله من الاستاندر.
negative,عيوبها صراحه تناقز مثل الهايلكس الكورو لا افضل منها و الشي ذا سبب بألم بظهري.
positive,اخذت لي كابرس 2013 و ما شاء الله تبارك الله في الخطوط مرتاح جداً جداً و القير و المكينة في الخط ابد تقولك امش عليها لو تبي الفصله 247 و ادعس زي ماتبي لأنه ثمانية سلندر وكبيرة 6 لتر و القير 6 نمر ومبردين قير وعلى الخط يا سلام.
negative,مع اخوي وحده 2017 فيها كمية أصوات في الديكور وداها الوكالة أكثر من مره و لا فاد.
negative,التيما ما انصحك لان بتتعقد لو خرب عليك شي قريب لي اخذها و تعبته كان فيه مشكلة بالبصمه التشغيل وتكلف 4 الاف وعند المطبات دايم تحك.
negative,الشكل الجديد فيه ناس ما تقبلته.
negative,مشكلة 2013 ان خلفيتها خايسة و أحسها ضيقة.
negative,يسبون ضعف المكيف.
positive,الداخلية ممتازة و شكلها أنيق.
positive,أفالون 2012 شكلها خيالي بصراحه و هي أجمل موديل للافالون.
positive,الموتر شكله حلو من جوا و برا و سواقته ممتعة.
positive,ما شاء الله تبارك الله وسيع و مريح جداً ما تحس بالخط و لا غيره.
negative,الموديلات القديمة أكثرها خرابات و أصوات و قليل تحصل نظيف.
neutral,جربت الأفجي و هو ممتاز جداً في الطرق الوعره و بالخطوط مزعج.
neutral,الجيوب اليابانية عموما غير مريحة و لكنها الأكثر اعتمادية من غيرها.
neutral,اذا تبي سيارة مريحة في الخط و راسية وحقت بر فانصحك بالجراند شيروكي بشرط يكون عندك سيارة ثانية لأنها ما تنفع إستخدام يومي.
positive,الباترول مريح خصوصا فئة 400 حصان.
positive,لو تبغى الراحه فعليك بالامريكي.
negative,في الخط حسب ما سمعت انه مو مريح كثير وكراسي الصف الثالث صغيرة.
neutral,السيراتو اريح لكن الداخلية كئيبة.
negative,نصيحة ابعد عنها لعدة أسباب موديلها قديم و قطع غير متوفرة.
positive, تاهو استخدام امريكي مواصفاته افضل.
positive,تاهو ما في افضل منه بالخط مكينة وراحه.
negative,الباجيروا ما انصحك فيه غير مريح بالخطوط.
positive,عليك بجيب سيكويا كان معي مريح بالخط و راسي و عليه عزم يطربك.
negative,ابعد عنها نصيحة موديلها قديم و قليلة الانتشار و قطعها غالية ونادرة.
positive,الموتر راح يعجبك سواء بالصبر او بالرساوة و العزل موتر بطل.
positive,اللكزس يا اخي رفاهية مراتب جلد رساوة مكينة كبيرة مريحة تسخين مراتب خرايط فخامة انوار زنن.
negative,الكامري وش فيها مراتب تكسر الظهر و شكل اعتيادي.
positive,لكزس افضل و مريح و عزم و فخامة و موتر يكد معك.
neutral,الثبات ممتاز. العزل سيء.
negative,الماغنا شكل ال 2003 كان مشاكل و هذا بعد اللي تبغاه أخذتها ماشيه 30 الف شبه جديدة مشيت سنة حلاوة و بعدين تعبتني و خاصة القير و مرات حرارة و تعبني بالقطع و هذا و انا ماخذها كانت شبه جديدة فما بالك بعد 17 سنة.
negative,المشكلة بالضيق من جوا.
negative,ما انصح فيها سيارة تعبانة وراح تتعبك خويي اشترى وحده 2011 أيام الجامعة وكالة لعبت فيه كانت تصفي المكافئة حقت الجامعة عليه تقريبا انه تجلس عنده شهر وفي الوكالة ثلاثة أشهر مشاكلها واجد خصوصا القير كان يحصل عنده مشاكل باستمرار.
negative,الرديتر إنفقع فجأة و خرابات لها أول ما لها تالي.
negative,كلها مشاكل و عيوب مصنعية.
positive,سعرها مغري و مواصفات حلوة.
negative,سيئة و مخيسة و ما هي اقتصادية.
negative,فورد فوكس كذا واحد صارت له مشاكل بالقير.
negative,ابتعد ثم ابتعد بتدفع قيمتها مرتين و تبيعها بخسارة و هي اصفار فيها خرابات.
negative,الاكسنت مكيفها نار في الصيف و عضلاتها تعبانة خاصة الخلفيه.
negative,يوجد عندي في القير صوت طقة واضح اذا عشقت من ال R إلى ال N.
negative,السكويا تستهلك بنزين ما فيها نظام موفر.
negative,اللكزس هيدروليك خراباته معقدة و مكلفة. 
negative,رجة فظيعة على كل السرعات.
negative,ما لها قطع غيار حتى بالوكيل.
negative,عندي شفر كروز 2012 بتطلع صوت قربعة غريب من ناحية سير التيمر.
positive,الفورتشنر افضل منهم بالأمان.
negative,نزلت موضوع عن خراب سيارتي كانت ترتفع الحرارة و بعدها انطفت و ما اشتغلت.
negative,خذ في بالك صيانتها مكلفة.
positive,سيارة فخمة و راقية وقطع غيارها رخيصة الاقمشة الامامية سعرها 190 ريال وكالة و هذا كلام ولد عمي معه واحدة 2012 و مريحة ما شاء الله.
negative,الله يعينك على صرف البنزين تشرب شرب.
positive,مرسيدس صيانتها متوفرة في كل مكان و هي نسبيا أوفر من الألماني الباقي.  
positive,المرسيدس قطع غيارها متوفرة، و القطع الاستهلاكية ما هي غالية مقارنة بفخامة السيارة.
positive,محركاته جبارة وما يخرب بسهولة و موتر مرغوب.
neutral,الموتر جدا عملي قد تواجه مشكلة المساعدات بسبب شوارعنا الجميلة.
negative,كومبرسر المكيف حساس يخرب و يطلع هواء حار و ماله حل الا كومبرسر جديد.
positive,الازيرا أرسى و أنعم بالقيادة و تتفوق بالرساوة كثير.
neutral,ميزة المستوبيشي صبور و يتحمل لكن في الصيانة مو كل احد يعرف له و سعر قطعه غالية و نادرة.
positive,السبب اللي خلاني اشتريه يقولو انها قوية و تتحمل و فيها انطلاقة بالخط.
positive,السيارة ممتازة و جميلة وراحتها ما تنوصف.
negative,بتتعب في الصيانة و القطع وحتى في البيع لو حبيت.
negative,"سلبياته قاسي جدا, قطعه نار وكيله سيء."
negative,غالبية ملاك الماغنا يشتكون بعدم توفر قطع غيار لها . روح الوكالة واستفسر بنفسك.
positive,سيارة تكدها كد فوق الجبال وفوق البحر ما تقول لك لا.
negative,الحساسات الخلفيه ما تشتغل تعطيني صوت وتجيني علامة في الطبلون لكن ما تشتغل ايش المشكلة.
negative,معي فورد ماركيز موديل 2000 عدادها إلكتروني و للأسف أعاني فيه من مشاكل أهمها ما يبين لي كم سرعتي كثير مثلا اكون ماشي بسرعة 100 هو يقول إني ماشي صفر وما يرجع يشتغل.
neutral, السيارة من ناحية القطع فهي رخيصة لكن مو متوفرة بكثرة.
positive, بالنسبة للالتيما فيه مدرس سوداني معه 2006 و ستة سلندر و محافظ عليها و ما تشكي من شي و معه زي الحلاوة.
positive,"مكاين نيسان من افضل المكاين, شوف الدداسن و الفتكات ما شاء الله تعيش سنوات طويلة. حتى الألتيما و المكسيما و الصني فيه موديلات من التسعينات للحين عايشه."
positive,الشهادة لله تايوتا سيارات تحمل و الي يقول غير كذا يبلط البحر.
positive,محرك نيسان اللي على التيما اختير من أحسن 10 محركات على العالم.
negative,معي التيما شاريها مخزنه ونظيفة و عذبتني بالخرابات مع اني محافظ.
negative,ليش النيسان يهربد بسرعة و يتفكفك مع اني يا الله امشيها.
negative,سعرها على مواصفاتها جدا ممتاز.
negative,اهم عيب صرفية البنزين فل 60 لتر ب 60 ريال المشكلة يمشيك الى 400 كم.
negative,"قطع غالية, وكيل سيء و شكله مش و لا بد ومن عرفته وهذا شكله."
negative,ما فيه شي يلفت لا شكل و لا قطع غيار و لا صرفية و لا فيه سعر عند اعادة البيع.
negative,المكيف يضعف أثناء الوقوف.
negative,عيوبه من وجهة نظري طبعا قاسي في المطبات.
negative,انا من رأيي لك سيارة ما تصلح للاستخدام الشخصي و العائلي و صوتها كله ازعاج.
positive,مميزاته قوي في البر و يتحمل و موتر خدوم و مواصفاته على سعره جدا ممتازة.
positive,معروفة من افضل السيارات الرياضية عملية و تقدر تستخدمةا استخدام شخصي هذا شي معروف فيها.
positive,سيارة عملية و افضل سيارة رياضية قليلة الخرابات هي الموستنج موديلات 2005 إلى 2009.
negative,العيوب المطب قاسي شوي بسبب الجنوط 18 المفروض تكون 17.
negative,من أهم عيوبه بالنسبة لي عزل الهواء ضعيف.
positive,السيارة رياضية و عملية و أعطالها قليلة خصوصا فئة GT.
negative,وضعية المرتبة غير مريحة خصوصا للمسافات الطويلة.
negative,المرتبة الثالثة غير صالحة للاستخدام الآدمي.
negative,عندي كيا اوبتما 2015 مكيفها ما يبرد و دفع الهواء مره ضعيف مدري وش المشكلة.
positive,على العموم جوده قطع موستبيشي ما عليها غبار وتعتبر من السيارات القليلة الي تركب فيها قطعه و تنساها.
positive,لا يخفى عليكم السمعة الطيبة لسيارات تويوتا و ماسكة سعرها بالسوق بحجة انها عملية و حقت كرف و قطعها متوفرة و رخيصة.
negative,بصراحه البحث عن قطعه متعبة و غالية جدا و ما تتوفر إلا بالوكالة خصوصا.
negative,يسخن القير عند طلوع بعض المرتفعات.
negative,يستهلك بنزين بشكل جنوني.
positive,طاحوا فيها الناس الفترة الأخيرة بسبب سعرها.
negative,تقنياتها قديمة و قطعها نار، و الله يا أخوي إني ناصح لك ابتعد عن هذه السيارة.
negative,القير سخن بسبب عقبة بسيطة تطلعها الآكسنت و الالنترا دون مشاكل، لكن تفاجانا بتسخين القير و السيارة جديدة و المكينة 3800.
positive,خذ المونتيرو سبورت مطبه اريح ناعم مقاعد اريح صرفية وقود أقل عزل افضل و خدوم.
positive,شوف المونتيرو صرفية بنزين حلوة فخامة و راحه افضل.
positive,مكيف في اغلب الاوقات فريزر ما شاء الله من أبرد السيارات اللي ركبتها.
neutral,الكوري مواصفات حلوة و أشكال حلوة لكن ما يقارن من ناحية القوة و العملية بالياباني و بالأخص تويوتا.
positive,رساوته ممتازة مقارنة بفئته.
positive,ما تعرف الورش بإذن الله.
positive,سعر مناسب جدا مع مواصفات ممتازة.
positive,ايرباقات كاملة و أمان عالي و الحافظ الله.
negative,المكيف اذا وقفت في عز الحر ربع ساعة يخف تبريده بشكل كبير و المكيف الخلفي يقلب صحراوي.
neutral,بعض الملاك اشتكوا من ارتفاع حرارة القير في التطعيس و صعود المرتفعات بس شخصيا ما قد ارتفعت عندي الحمد لله.
neutral,تويوتا مو مثل أول لكن من ناحية العملية و الكرف و توفر قطع الغيار هو رقم واحد.
negative,يصرف بنزين بشكل عالي.
negative,كان معي ديهاتسو سريون قبل 7 سنوات وكيلها أبو جميل القطع نار الكمبرسر 4 الف و قدر الله و صار عليها حادث سعرت القطع طلعت 13 الف شي و لا في الخيال من الجشع و الخبث.
positive,معي نيسان صني قطع في كل مكان و درجات و رخيصة مثلا بواجي 50 ريال فقط.
positive,فيها ما شاء الله مواصفات و أنظمة كثير.
negative,عندي اكسنت كان فيها تهريب في كارتير القير.
neutral,ال TOYOTA ما لها مثيل تكد و تصبر صح انها قاسية و غير مريحة بالشكل المطلوب لكن ما يهم المهم ان السيارة تصبر و تكد.
neutral,رغم كرهي لتويوتا بسبب الوكيل إلا أن كلمة الحق أن سياراته أكثر سيارات اعتمادية و قلة أعطال.
negative,عندي مشكلة اللي هي تقطيع بسيط على سرعة 30 او 40 ما له حل.
negative,ناس قالوا القير عندك منتهي يبي له توضيب.
negative,فيه شخص قال لي عندك المنظم اللي هي الدعسة او الثروتل فيه مشكلة و يبي له تغيير كامل.
negative,الموتر وهو واقف فيه رجفة زايدة.
negative,الاكسنت موديل 2016 و2017 عليها استدعاء من الوكالة فيها خلل بالنظام و تحتاج برمجة.
negative,انا طلعت اكسنت 2017 وكالة اذا شغلت المكيف ترجف المكينة و تطفي.
negative,القهر ان الشكل ما تغير أبدا وبكره تشوف أسعاره بالعلالي.
negative,شفتة غالي بالمعارض على غير سنع.
negative,عندي مشكلة و هي اثناء السير بالسيارة و كل دعسة مع البنزين أسمع صوت من داخل الكبوت و بالقرب من حساس الهواء و مع الطلعات يكون واضح بالتحديد مثل قرر.
neutral,من ناحية قطع الغيار البدي اشهد بالله انها رخيصة رخص التراب لكن القطع الاستهلاكية و الميكانيكية غالية.
neutral,المازدا 3 مجربها ممتازة راسية و صرفية ممتازة بس مشكلتها ما فيها راحه ذاك الزود.
neutral,جربت المازدا في الخط بصراحه افضل مما توقعت لكن أشوف صرفيتها لك عليها شوي.
negative,المازدا كراسيةا غير مريحة و تسبب لك الألم بالظهر.
positive,خذلك اكورد من 2008 الى 2012 راسية و مريحة و عزلها حلو على 120 و بنزين تعبي 91 55 ريال يكفي 700 كيلو بالراحه و أكثر.
positive,اذا تبي موتر حلو  و غير مزعج بالخطوط خذ لك كيا ريو 2012 الى 2017 مريحة و حلوة و وسيعة.
positive,الهايلكس عزم و فزة ما شاء الله  و180 تجيبه بالراحه.
positive,بالنسبة لسعر فلتر الهواء 125 ريال سعر عادي جداً و لا يعتبر غالي.
negative,ما عجبني الفورتشنر الشكل الجديد مره خاصه الربل السودة في الرفارف مخربة المنظر.
neutral,تويوتا صحيح أسعار عالية و مواصفات قليلة لكن سيارات تتحمل الكرف و تتحمل تضاريسنا و سواقتنا بخصوص قطع الغيار تعتبر متوسطة الى غالية.
negative,عندي يارس 2008 قير عادي السيارة صار عزمها و استجابتها ضعيفين يعني يا الله تجيب 140-150 بالكثير.
negative,عندي مشكلة من اسبوعين في الاكورد ستاندرد 2014 تفتفة قوية و عزم ضعيف و رجة في المحرك.
negative, صارت المكينة تتفتف و ترجف.
positive,سيارات قوية و جبارة الهيمي مميزاتها قوية و مريحة و جميلة الشكل الداخلي و الخارجي.
negative,عيوبها دفع رباعي مستمر متواصل تصرف بنزين.
positive,اجمالا من ناحية القوة و العزم و الفخامة لا يعلي عليها.
positive,انصحك بالالتيما 2017 تحصل الخليجي بمثبت سرعة 59 الف تقريبا مقاعدها مريحة جدا و اقتصادية في البنزين و حسنوا القير صار الجيل الثالث و ما عليه ملاحظات و السعر طيب و مقبول.
positive,عملي و اقتصادي بالبنزين و قطع غياره رخيصة.
positive, سيارة حلوة و عملية و اقتصادية و تنفع نوعا ما للخطوط.
neutral,انا معي التيما 2011 فعلا موتر عملي و اقتصادي بس شوي متعب في الخط.
positive,ممتازة جدا و في الخط ما يصرف أبدا و عملي.
positive,اشتريت الالتيما و مرتاح عليها مسألة تعود كلما شفت الحرارة على الربع ثابتة و المكيف ثلاجة و موفرة بنزين الحمد لله مريحة لخط ساعتين ثلاث.
neutral,سيارة معروفة بقوتها وعمليتها و أيضا شكلها جميل و تصلح للخطوط بس قطع الغيار معروف الهوندا غالية.
neutral,عيوب تويوتا ارتفاع سعرها و قلة المواصفات فقط و مميزاتها غطت على عيوبها.
negative,الازيرا يشتكون من التكييف.
positive,الكوري ممتاز يميزة عملي جدا و قطع غياره رخيصة 30 الف تجيب للك النترا 2016.
positive,هي مصنوعة للخطوط و قطعها متوفرة و مقاعدها مريحة.
neutral,السيارة ما شاء الله رائعة جدًا و لكن عندي مشكلة اللي هي السيارة فيها نفضة خفيفة من سرعة 20 الى 60 تحس السيارة تثقل.
positive,أرشح لك الصني 2016 نصف فل بي 28 الف على يدك وكالة تكرفها خطوط ما تشيل همها جديدة و مكيفها ثلج يعزك.
positive,المعروف انه حق كرف و مريح.
negative,مراتبه قاسية و انا اقول هالكلام لأني جربت الهونداي من الاكسنت للازيرا بطريق الشرقية يعني توصل و ظهرك يوجعك.
positive,توروس 2013 لو لقيت موتر جدا ممتاز بالخطوط راحه و مكيف ممتاز.
negative,انا مطلع كامري 2013 من أخذتها وكالة فيه رجة بالقير اذا كانت دعسة خفيفة من 40 إلى 80 و وديتها الوكالة بعدها برمجوها و قسم بالله صارت أخس من أول.
positive,افالون موديل 2010 جدا ممتازة في الخط سريعة جدا.
neutral,سيارة أمان و راحه و عزم يعيبها بس استهلاك البنزين عالي شوية.
negative,أروح الجبيل على سيارة الشركة كامري 2014 اوصل و ظهري متكسر و تعبان.
positive,أشوف الفكتوريا مريحة و مناسبة للخطوط و قطع غيار مناسبة و خدوم.
neutral,الحمد لله خادمتني و اقتصادية حلوة لداخل البلد بس متعبة بالنسبة للخط.
negative,التورس و لله الحمد تم بيعها بعد معاناة معها و مع قطع غيارها و كثرة خراباتها.
